country_key,country,region_key,region,year,date,holiday
ca,Canada,qc,Quebec,2026,2026-09-07,Labour Day
ca,Canada,qc,Quebec,2026,2026-10-12,Thanksgiving
ca,Canada,qc,Quebec,2026,2026-11-11,Remembrance Day
ca,Canada,qc,Quebec,2026,2026-12-25,Christmas Day
ca,Canada,qc,Quebec,2026,2026-12-26,Boxing Day
ca,Canada,qc,Quebec,2027,2027-01-01,New Year's Day
ca,Canada,qc,Quebec,2027,2027-03-26,Good Friday
ca,Canada,qc,Quebec,2027,2027-03-28,Easter Sunday
ca,Canada,qc,Quebec,2027,2027-03-29,Easter Monday
ca,Canada,qc,Quebec,2027,2027-05-24,National Patriots' Day
ca,Canada,qc,Quebec,2027,2027-06-24,National Holiday
ca,Canada,qc,Quebec,2027,2027-07-01,Canada Day
ca,Canada,qc,Quebec,2027,2027-08-02,Civic Holiday
ca,Canada,qc,Quebec,2027,2027-09-06,Labour Day
ca,Canada,qc,Quebec,2027,2027-10-11,Thanksgiving
ca,Canada,qc,Quebec,2027,2027-11-11,Remembrance Day
ca,Canada,qc,Quebec,2027,2027-12-25,Christmas Day
ca,Canada,qc,Quebec,2027,2027-12-26,Boxing Day
ca,Canada,sk,Saskatchewan,2026,2026-01-01,New Year's Day
ca,Canada,sk,Saskatchewan,2026,2026-02-16,Family Day
ca,Canada,sk,Saskatchewan,2026,2026-04-03,Good Friday
ca,Canada,sk,Saskatchewan,2026,2026-04-05,Easter Sunday
ca,Canada,sk,Saskatchewan,2026,2026-05-18,Victoria Day
ca,Canada,sk,Saskatchewan,2026,2026-07-01,Canada Day
ca,Canada,sk,Saskatchewan,2026,2026-08-03,Saskatchewan Day
ca,Canada,sk,Saskatchewan,2026,2026-09-07,Labour Day
ca,Canada,sk,Saskatchewan,2026,2026-10-12,Thanksgiving
ca,Canada,sk,Saskatchewan,2026,2026-11-11,Remembrance Day
ca,Canada,sk,Saskatchewan,2026,2026-12-25,Christmas Day
ca,Canada,sk,Saskatchewan,2026,2026-12-26,Boxing Day
ca,Canada,sk,Saskatchewan,2027,2027-01-01,New Year's Day
ca,Canada,sk,Saskatchewan,2027,2027-02-15,Family Day
ca,Canada,sk,Saskatchewan,2027,2027-03-26,Good Friday
ca,Canada,sk,Saskatchewan,2027,2027-03-28,Easter Sunday
ca,Canada,sk,Saskatchewan,2027,2027-05-24,Victoria Day
ca,Canada,sk,Saskatchewan,2027,2027-07-01,Canada Day
ca,Canada,sk,Saskatchewan,2027,2027-08-02,Saskatchewan Day
ca,Canada,sk,Saskatchewan,2027,2027-09-06,Labour Day
ca,Canada,sk,Saskatchewan,2027,2027-10-11,Thanksgiving
ca,Canada,sk,Saskatchewan,2027,2027-11-11,Remembrance Day
ca,Canada,sk,Saskatchewan,2027,2027-12-25,Christmas Day
ca,Canada,sk,Saskatchewan,2027,2027-12-26,Boxing Day
ca,Canada,yt,Yukon,2026,2026-01-01,New Year's Day
ca,Canada,yt,Yukon,2026,2026-04-03,Good Friday
